method,bits,seed,task,recall_at_1,recall_at_5,recall_at_10,n_queries
faiss_pq,1,1,T4_image2image,0.368,0.711,0.836,1000
faiss_pq,1,2,T1_text2image,0.114,0.265,0.349,1000
faiss_pq,1,2,T2_image2text,0.147,0.354,0.476,1000
faiss_pq,1,2,T3_text2text,0.174,0.315,0.385,1000
faiss_pq,1,2,T4_image2image,0.367,0.74,0.866,1000
faiss_pq,1,3,T1_text2image,0.104,0.261,0.341,1000
faiss_pq,1,3,T2_image2text,0.168,0.391,0.51,1000
faiss_pq,1,3,T3_text2text,0.187,0.345,0.425,1000
faiss_pq,1,3,T4_image2image,0.352,0.726,0.843,1000
faiss_pq,1,4,T1_text2image,0.123,0.271,0.346,1000
faiss_pq,1,4,T2_image2text,0.153,0.377,0.475,1000
faiss_pq,1,4,T3_text2text,0.167,0.333,0.408,1000
faiss_pq,1,4,T4_image2image,0.371,0.734,0.85,1000
faiss_pq,2,0,T1_text2image,0.169,0.373,0.471,1000
faiss_pq,2,0,T2_image2text,0.31,0.578,0.682,1000
faiss_pq,2,0,T3_text2text,0.281,0.443,0.524,1000
faiss_pq,2,0,T4_image2image,0.538,0.899,0.961,1000
faiss_pq,2,1,T1_text2image,0.176,0.374,0.461,1000
faiss_pq,2,1,T2_image2text,0.303,0.56,0.648,1000
faiss_pq,2,1,T3_text2text,0.253,0.41,0.491,1000
faiss_pq,2,1,T4_image2image,0.565,0.916,0.972,1000
faiss_pq,2,2,T1_text2image,0.179,0.352,0.459,1000
faiss_pq,2,2,T2_image2text,0.308,0.55,0.661,1000
faiss_pq,2,2,T3_text2text,0.255,0.417,0.489,1000
faiss_pq,2,2,T4_image2image,0.574,0.913,0.966,1000
faiss_pq,2,3,T1_text2image,0.211,0.384,0.47,1000
faiss_pq,2,3,T2_image2text,0.317,0.582,0.689,1000
faiss_pq,2,3,T3_text2text,0.278,0.438,0.513,1000
faiss_pq,2,3,T4_image2image,0.529,0.915,0.977,1000
faiss_pq,2,4,T1_text2image,0.192,0.375,0.477,1000
faiss_pq,2,4,T2_image2text,0.331,0.569,0.687,1000
faiss_pq,2,4,T3_text2text,0.248,0.406,0.479,1000
faiss_pq,2,4,T4_image2image,0.578,0.929,0.981,1000
faiss_pq,4,0,T1_text2image,0.213,0.401,0.495,1000
faiss_pq,4,0,T2_image2text,0.4,0.642,0.733,1000
faiss_pq,4,0,T3_text2text,0.303,0.475,0.542,1000
faiss_pq,4,0,T4_image2image,0.688,0.971,0.993,1000
faiss_pq,4,1,T1_text2image,0.197,0.379,0.478,1000
faiss_pq,4,1,T2_image2text,0.402,0.637,0.731,1000
faiss_pq,4,1,T3_text2text,0.282,0.442,0.514,1000
faiss_pq,4,1,T4_image2image,0.696,0.971,0.994,1000
faiss_pq,4,2,T1_text2image,0.205,0.375,0.477,1000
faiss_pq,4,2,T2_image2text,0.385,0.632,0.731,1000
faiss_pq,4,2,T3_text2text,0.281,0.45,0.523,1000
faiss_pq,4,2,T4_image2image,0.75,0.983,0.994,1000
faiss_pq,4,3,T1_text2image,0.231,0.425,0.502,1000
faiss_pq,4,3,T2_image2text,0.406,0.652,0.745,1000
faiss_pq,4,3,T3_text2text,0.293,0.465,0.539,1000
faiss_pq,4,3,T4_image2image,0.709,0.975,0.999,1000
faiss_pq,4,4,T1_text2image,0.219,0.42,0.514,1000
faiss_pq,4,4,T2_image2text,0.403,0.641,0.738,1000
faiss_pq,4,4,T3_text2text,0.284,0.43,0.507,1000
faiss_pq,4,4,T4_image2image,0.751,0.981,0.992,1000
faiss_pq,8,0,T1_text2image,0.198,0.414,0.497,1000
faiss_pq,8,0,T2_image2text,0.41,0.645,0.739,1000
faiss_pq,8,0,T3_text2text,0.301,0.483,0.543,1000
